frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
179,8.523816,502.0,24.0,1,2.4886,61.3007,63.3755,177.7906,0,660.23,423.71,-1,-1,1,-1,flow,missing
180,8.571435,500.0,26.0,1,2.5286,61.9659,13.9958,5.3243,0,660.23,423.72,521.87,348.67,1,19,flow,detect
181,8.619054,495.0,30.0,1,2.6377,63.3705,29.584,1.0104,0,659.42,423.74,-1,-1,1,-1,flow,missing
182,8.666673,491.0,35.0,1,2.7274,65.2797,40.1375,1.7552,0,-1,-1,521.72,348.69,-1,19,missing,flow
183,8.714292,489.0,41.0,1,2.7696,67.8308,53.5808,1.7408,0,-1,-1,521.6,348.68,-1,19,missing,flow
184,8.761911,485.0,51.0,1,2.8735,72.8654,105.7505,0.2344,1,-1,-1,486.98,484.15,-1,15,missing,detect
185,8.809530,483.0,60.0,1,2.9347,78.5018,118.3695,0.5605,1,-1,-1,483.86,475.3,-1,15,missing,detect
186,8.857149,478.0,86.0,1,3.1905,105.7641,572.5343,0.0846,1,-1,-1,486.65,456.56,-1,15,missing,detect
187,8.904768,474.0,100.0,1,3.5661,135.9352,633.6409,0.1759,1,-1,-1,489.78,443.01,-1,15,missing,detect
188,8.952388,472.0,117.0,1,4.3317,226.9009,1910.3472,0.2312,1,-1,-1,490.28,435.07,-1,15,missing,detect
189,9.000007,468.0,136.0,1,23.8511,2250.46,42496.6861,0.0704,1,-1,-1,487.49,434.71,-1,15,missing,detect
190,9.047626,433.0,222.0,1,1.3494,-26.3404,47815.1091,179.9864,1,-1,-1,484.47,439.74,-1,15,missing,detect
191,9.095245,410.0,277.0,1,1.5346,-6.4047,418.668,179.9658,1,-1,-1,477.03,454.11,-1,15,missing,detect
192,9.142864,405.0,290.0,1,1.5665,-3.7993,54.7168,0.1694,0,-1,-1,473.56,469.15,-1,15,missing,detect
